SPEC Algorytmy i technologie internetwoe 1
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e
Uczenie maszynowe o wysokiej wydajnosci,3,15,0,15,0,0,z
ZAAWANSOWANE SYSTEMY ROZPROSZONE,4,15,0,15,0,0,e

SPEC Aplikacje rozproszone i systemy internetowe,2
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ALGORYTMY OPTYMALIZACJI DYSKRETNEJ,2,15,0,15,0,0,e
ALGORYTMY RÓWNOLEG£E I ROZPROSZONE,2,15,0,0,15,0,z
AUTOMATYZACJA PROCESÓW BIZNESOWYCH,2,15,0,0,15,0,e
BADANIA OPERACYJNE,5,30,15,0,0,0,e
METODOLOGIA OPEN SOURCE,2,15,0,0,0,15,z
OBLICZENIA RÓWNOLEG£E I ROZPROSZONE,2,15,0,15,0,0,z
PODSTAWY ANALIZY RYNKÓW KAPITA£OWYCH,1,15,0,0,0,0,z
PRZETWARZANIE RÓWNOLEG£E CUDA,4,15,0,15,0,0,e
SYSTEMY OBLICZENIOWE WYSOKIEJ WYDAJNOŒC,4,15,0,15,0,0,z
SYSTEMY Z BAZ¥ WIEDZY,2,15,0,15,0,0,z

>Semestr: 2BIE¯¥CY SEMESTR
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ARCHITEKTURY WIELORDZENIOWE,3,15,0,15,0,0,z
ELEMENTY BIOINFORMATYKI,3,15,0,0,15,0,z
INTELIGENTNE WYSZUKIWANIE INFORMACJI,3,15,0,0,30,0,e
Internetowe us³ugi mobilne,2,15,0,0,15,0,e
METODY ANALIZY DANYCH WIELKOSKALOWYCH,2,15,0,0,15,0,z
MODELOWANIE I SYMULACJA SYSTEMÓW-(INF),5,30,0,15,0,0,e
PODSTAWY KRYPTOGRAFII,3,15,15,0,0,0,e
ZAAWANSOWANE TECHNIKI OBIEKTOWE,2,15,0,15,0,15,z

>Semestr: 3
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e
Uczenie maszynowe o wysokiej wydajnosci,3,15,0,15,0,0,z
ZAAWANSOWANE SYSTEMY ROZPROSZONE,4,15,0,15,0,0,e


SPEC Inteligentne systemy interaktywne
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
BADANIA OPERACYJNE,5,30,15,0,0,0,e
BIBLIOTEKI CYFROWE,2,15,0,0,15,0,z
GRAFIKA TRÓJWYMIAROWA,4,15,0,15,0,0,e
MULTIMEDIALNE SYSTEMY INTERAKTYWNE,4,30,0,0,15,15,e
PODSTAWY ANALIZY RYNKÓW KAPITA£OWYCH,1,15,0,0,0,0,z
SYSTEMY OBLICZENIOWE WYSOKIEJ WYDAJNOŒC,4,15,0,15,0,0,z
TECHNOLOGIE MAP CYFROWYCH,2,15,0,15,15,0,z
TECHNOLOGIE PRZETWARZANIA DANYCH PRZEST,4,30,0,15,0,0,e
Pobierz karty zaznaczonych przedmiotów

>Semestr: 2BIE¯¥CY SEMESTR
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ELEMENTY BIOINFORMATYKI,3,15,0,0,15,0,z
METODY KLASYFIKACJI DANYCH GEOINFORMATY,3,15,0,0,15,0,e
MOBILNE APLIKACJE MULTIMEDIALNE,2,15,0,15,15,0,z
MODELOWANIE I SYMULACJA SYSTEMÓW-(INF),5,30,0,15,0,0,e
RZECZYWISTOŒÆ WIRTUALNA,3,15,0,15,15,0,e
SYSTEMY GRAFICZNE,2,15,0,15,0,0,z
SYSTEMY UCZ¥CE SIÊ,5,15,0,0,15,15,e
Pobierz karty zaznaczonych przedmiotów

>Semestr: 3
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
PRZETWARZANIE JÊZYKA NATURALNEGO,2,15,0,0,15,0,z
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e
WIDZENIE KOMPUTEROWE,5,30,0,15,0,0,e
 
 
SPEC In¿ynieria systemów informacyjnych
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
AUTOMATYZACJA PROCESÓW BIZNESOWYCH,2,15,0,0,15,0,e
BADANIA OPERACYJNE,5,30,15,0,0,0,e
BEZPIECZEÑSTWO SYSTEMÓW,2,15,0,0,15,0,z
IN¯YNIERIA WYMAGAÑ,4,15,0,0,15,0,e
METODOLOGIA OPEN SOURCE,2,15,0,0,0,15,z
OBLICZENIA RÓWNOLEG£E I ROZPROSZONE,2,15,0,15,0,0,z
PODSTAWY ANALIZY RYNKÓW KAPITA£OWYCH,1,15,0,0,0,0,z
SYSTEMY OBLICZENIOWE WYSOKIEJ WYDAJNOŒC,4,15,0,15,0,0,z
U¯YTECZNOŒÆ OPROGRAMOWANIA,2,15,0,0,15,0,z
ZARZ¥DZANIE PROJEKTEM INFORMATYCZNYM,2,15,0,0,15,0,e
Pobierz karty zaznaczonych przedmiotów

>Semestr: 2BIE¯¥CY SEMESTR
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ELEMENTY BIOINFORMATYKI,3,15,0,0,15,0,z
INTELIGENTNE WYSZUKIWANIE INFORMACJI,3,15,0,0,30,0,e
LABORATORIUM U¯YTECZNOŒCI OPROGRAMOW.,1,0,0,15,0,0,z
METODY ANALIZY DANYCH WIELKOSKALOWYCH,2,15,0,0,15,0,z
MODELOWANIE I ANALIZA BIZNESOWA,2,15,0,0,15,0,z
MODELOWANIE I SYMULACJA SYSTEMÓW-(INF),5,30,0,15,0,0,e
PRZETWARZANIE DANYCH W BIZNESIE,4,15,0,30,0,0,e
ZARZ¥DZANIE EWOLUCJ¥ SYSTEMÓW INFORMAC.,2,15,0,0,15,0,e
Zarz¹dzanie produktem w bran¿y IT,1,0,0,0,0,15,z
Pobierz karty zaznaczonych przedmiotów

>Semestr: 3
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
STRATEGIE INFORMATYZACJI,4,15,0,0,0,15,e
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e
ZARZ¥DZANIE BEZPIECZEÑSTWEM INFORMACJI,3,15,0,0,15,0,z


SPEC In¿ynieria systemów informacyjnych,2
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ALGORYTMY OPTYMALIZACJI DYSKRETNEJ,2,15,0,15,0,0,e
ALGORYTMY RÓWNOLEG£E I ROZPROSZONE,2,15,0,0,15,0,z
BADANIA OPERACYJNE,5,30,15,0,0,0,e
BEZPIECZEÑSTWO SYSTEMÓW,2,15,0,0,15,0,z
IN¯YNIERIA WYMAGAÑ,4,15,0,0,15,0,e
PODSTAWY ANALIZY RYNKÓW KAPITA£OWYCH,1,15,0,0,0,0,z
SYSTEMY OBLICZENIOWE WYSOKIEJ WYDAJNOŒC,4,15,0,15,0,0,z
SYSTEMY Z BAZ¥ WIEDZY,2,15,0,15,0,0,z
U¯YTECZNOŒÆ OPROGRAMOWANIA,2,15,0,0,15,0,z
ZARZ¥DZANIE PROJEKTEM INFORMATYCZNYM,2,15,0,0,15,0,e
Pobierz karty zaznaczonych przedmiotów

>Semestr: 2BIE¯¥CY SEMESTR
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ELEMENTY BIOINFORMATYKI,3,15,0,0,15,0,z
LABORATORIUM U¯YTECZNOŒCI OPROGRAMOW.,1,0,0,15,0,0,z
MODELOWANIE I ANALIZA BIZNESOWA,2,15,0,0,15,0,z
MODELOWANIE I SYMULACJA SYSTEMÓW-(INF),5,30,0,15,0,0,e
